note_name,start_time,duration,velocity
A#3,31.625,0.125,100
A#2,31.625,0.0,100
D4,31.75,0.125,100
D3,31.75,0.0,100
D4,31.875,0.125,100
D3,31.875,0.0,100
G#3,32.0,0.125,100
G#2,32.0,0.0,100
G#3,32.125,0.125,100
G#2,32.125,0.0,100
G#3,32.25,0.125,100
G#2,32.25,0.0,100
G#3,32.375,0.125,100
G#2,32.375,0.0,100
G#3,32.5,0.125,100
G#2,32.5,0.0,100
G#3,32.625,0.125,100
G#2,32.625,0.0,100
G#3,32.75,0.125,100
G#2,32.75,0.0,100
G#3,32.875,0.125,100
G#2,32.875,0.0,100
G#3,33.0,0.125,100
G#2,33.0,0.0,100
G#3,33.125,0.125,100
G#2,33.125,0.0,100
G#3,33.25,0.125,100
G#2,33.25,0.0,100
G#3,33.375,0.125,100
G#2,33.375,0.0,100
G#3,33.5,0.125,100
G#2,33.5,0.0,100
G#3,33.625,0.125,100
G#2,33.625,0.0,100
G#3,33.75,0.125,100
G#2,33.75,0.0,100
G#3,33.875,0.125,100
G#2,33.875,0.0,100
A#3,34.0,0.125,100
A#2,34.0,0.0,100
A#3,34.125,0.125,100
A#2,34.125,0.0,100
A#3,34.25,0.125,100
A#2,34.25,0.0,100
A#3,34.375,0.125,100
A#2,34.375,0.0,100
A#3,34.5,0.125,100
A#2,34.5,0.0,100
A#3,34.625,0.125,100
A#2,34.625,0.0,100
A#3,34.75,0.125,100
A#2,34.75,0.0,100
A#3,34.875,0.125,100
A#2,34.875,0.0,100
A#3,35.0,0.125,100
A#2,35.0,0.0,100
A#3,35.125,0.125,100
A#2,35.125,0.0,100
A#3,35.25,0.125,100
A#2,35.25,0.0,100
A#3,35.375,0.125,100
A#2,35.375,0.0,100
A#3,35.5,0.125,100
A#2,35.5,0.0,100
A#3,35.625,0.125,100
A#2,35.625,0.0,100
D4,35.75,0.125,100
D3,35.75,0.0,100
D4,35.875,0.125,100
D3,35.875,0.0,100
G#3,36.0,0.125,100
G#2,36.0,0.0,100
G#3,36.125,0.125,100
G#2,36.125,0.0,100
G#3,36.25,0.125,100
G#2,36.25,0.0,100
G#3,36.375,0.125,100
G#2,36.375,0.0,100
G#3,36.5,0.125,100
G#2,36.5,0.0,100
G#3,36.625,0.125,100
G#2,36.625,0.0,100
G#3,36.75,0.125,100
G#2,36.75,0.0,100
G#3,36.875,0.125,100
G#2,36.875,0.0,100
G#3,37.0,0.125,100
G#2,37.0,0.0,100
G#3,37.125,0.125,100
G#2,37.125,0.0,100
G#3,37.25,0.125,100
G#2,37.25,0.0,100
G#3,37.375,0.125,100
G#2,37.375,0.0,100
G#3,37.5,0.125,100
G#2,37.5,0.0,100
G#3,37.625,0.125,100
G#2,37.625,0.0,100
G#3,37.75,0.125,100
G#2,37.75,0.0,100
G#3,37.875,0.125,100
G#2,37.875,0.0,100
A#3,38.0,0.125,100
A#2,38.0,0.0,100
A#3,38.125,0.125,100
A#2,38.125,0.0,100
A#3,38.25,0.125,100
A#2,38.25,0.0,100
A#3,38.375,0.125,100
A#2,38.375,0.0,100
A#3,38.5,0.125,100
A#2,38.5,0.0,100
A#3,38.625,0.125,100
A#2,38.625,0.0,100
A#3,38.75,0.125,100
A#2,38.75,0.0,100
A#3,38.875,0.125,100
A#2,38.875,0.0,100
A#3,39.0,0.125,100
A#2,39.0,0.0,100
A#3,39.125,0.125,100
A#2,39.125,0.0,100
A#3,39.25,0.125,100
A#2,39.25,0.0,100
A#3,39.375,0.125,100
A#2,39.375,0.0,100
A#3,39.5,0.125,100
A#2,39.5,0.0,100
A#3,39.625,0.125,100
A#2,39.625,0.0,100
D4,39.75,0.125,100
D3,39.75,0.0,100
D4,39.875,0.125,100
D3,39.875,0.0,100
