note_name,start_time,duration,velocity
D#5,46337,42,87
C5,46385,42,89
G#5,46444,106,112
F#5,47129,105,105
G5,47244,46,109
A5,47296,62,120
A#5,47370,95,110
B5,47482,83,113
A#5,47578,89,101
A5,47682,36,110
G5,47724,92,107
D#5,47822,40,83
C5,47898,43,99
A5,47954,118,120
F5,48072,80,108
D#5,48156,46,96
C5,48214,104,89
G5,48326,101,113
D#5,48443,42,92
G#5,48504,128,127
A5,48641,85,116
C6,48734,90,104
E5,48847,36,99
D#5,48893,66,97
C5,48998,65,94
D5,49082,114,100
D#5,49224,52,87
G#5,49304,87,9
A#5,49409,61,95
D6,49484,95,105
C6,49586,75,113
A#5,49672,85,104
G#5,49772,75,107
A5,49875,102,109
E6,50016,81,112
G#6,50110,317,115
G5,50437,118,99
F6,51767,609,115
F5,52424,125,88
F5,52619,71,100
D6,52721,119,111
F5,52863,48,88
C6,52917,113,103
D#6,53042,102,103
A5,53237,98,103
D6,53421,100,111
C6,53613,90,96
G6,54592,234,118
F#6,54838,54,114
F6,54899,78,115
E6,54984,44,116
D#6,55032,93,115
D6,55132,91,110
C#6,55231,92,117
C6,55333,119,115
C6,55458,91,94
A#5,55557,172,106
A5,55738,104,107
C5,55853,57,89
C#5,55928,74,90
A#5,56004,89,100
D5,56125,67,98
A5,56207,58,110
A#5,56273,60,102
A5,56364,107,105
F5,56525,61,97
E5,56601,66,87
D6,57718,91,100
C6,57907,78,101
A#5,58093,83,90
A5,58299,165,107
G5,58495,75,102
A#5,58621,87,111
C6,58806,98,108
A#5,59002,87,107
A5,59182,72,113
D#5,59288,47,89
C5,59375,53,86
A#5,59461,76,109
A5,59649,87,112
F5,59782,61,94
G5,59862,90,105
D#5,59998,69,93
D5,60177,67,102
G5,60336,113,111
D5,60493,35,92
A#4,60541,32,91
F5,60613,98,93
D6,60795,81,113
C6,61180,79,105
G#5,61319,43,89
A5,61419,66,95
D6,61573,103,116
C6,61682,79,93
G5,61785,87,91
D#5,61910,64,100
C5,61987,61,90
G5,62626,82,115
D#6,62720,89,114
F#6,62833,191,110
C6,63063,75,99
C#6,64225,113,124
D6,64348,82,111
C#6,64450,108,123
D6,64567,50,114
C#6,64673,101,120
D6,64782,58,109
C#6,64885,94,117
D6,64990,89,110
C#6,65104,81,119
D6,65200,68,113
C#6,65319,70,119
D6,65408,67,116
C#6,65514,93,116
D6,65622,65,111
B5,65703,116,109
G5,65835,75,103
C#6,66778,125,122
D6,66906,76,106
C#6,66995,105,122
D6,67112,76,116
C#6,67193,91,121
D6,67300,87,103
C#6,67394,95,117
D6,67502,81,105
C#6,67594,89,119
D6,67695,68,112
C#6,67787,99,118
D6,67902,65,109
B5,67975,110,110
G5,68127,60,102
B5,68827,74,108
C6,68903,108,110
A5,69041,252,92
A#5,70081,557,116
D5,70705,94,97
F5,70902,122,105
A#5,71079,105,114
C6,71200,106,116
D6,71378,114,115
D#6,71564,104,115
D6,71755,97,107
A#5,71951,99,102
C5,72136,66,84
A#5,72225,95,113
F5,72431,77,96
G5,72622,119,104
A#5,72770,85,107
A5,72954,79,110
G5,73140,77,99
F5,73337,68,87
G#6,74159,843,116
G6,75023,115,113
F6,75156,138,115
D6,75326,201,110
C6,75552,140,114
A#5,75708,244,100
G#5,75958,125,103
E5,76098,236,101
D#5,76346,105,90
D#5,76491,184,92
D5,76681,46,88
E5,77134,100,105
C#5,77250,285,92
A#4,78324,84,106
C#5,78416,82,110
D#5,78511,84,112
E5,78604,39,107
F5,78653,97,116
E5,78778,49,97
F#5,78839,107,111
G#5,78955,85,114
F#5,79044,45,107
F5,79105,184,103
E5,79338,85,97
D5,79438,125,90
C6,80051,84,104
D6,80149,83,104
C6,80242,110,112
A#5,80358,98,109
A5,80472,87,111
G5,80566,51,103
F5,80625,131,105
D5,80756,62,94
D#5,80837,91,98
C#5,80945,84,98
A#5,81388,69,118
C6,81458,111,116
A#5,81579,100,119
A#5,81700,37,111
A5,81753,106,111
G5,81911,106,102
F5,82057,117,97
D#5,82180,92,80
D5,82312,89,101
A#4,82438,101,98
B4,82929,107,100
A#4,83052,224,101
G5,83350,128,105
A5,83535,104,106
G5,83655,83,103
A5,83814,126,114
A#5,84019,100,109
A#5,84210,73,103
G5,84300,130,94
D#5,84483,105,96
C5,84598,52,81
D5,84680,67,95
F5,84805,66,110
D5,84895,65,90
A#4,84984,60,89
D#5,85063,82,96
D6,85611,226,109
B5,85851,41,106
A#5,85901,48,107
G#5,85965,64,111
A5,86038,31,106
G#5,86071,30,102
F#5,86108,39,98
D#5,86152,51,97
C#5,86212,33,94
B4,86263,63,92
G#4,86351,62,98
F#4,86434,87,94
F#6,87005,328,112
F6,87348,24,110
D#6,87377,31,116
D6,87415,37,111
C#6,87473,42,103
C6,87528,40,107
