,note_name,start_time,duration,velocity,chord
5,C6,0.06533333333333369,0.11333333333333333,109,Bbj7
6,F5,1.3693333333333335,0.14133333333333334,108,Bbj7
7,C6,1.5200000000000005,0.14266666666666666,111,Bbj7
8,C6,1.682666666666667,0.088,90,Bbj7
9,C6,1.8946666666666667,0.12533333333333332,110,Bbj7
10,C6,2.033333333333333,0.3626666666666667,108,Bb-7
11,C6,2.405333333333333,0.07466666666666667,101,Bb-7
12,F5,3.4493333333333336,0.10666666666666667,92,Eb7
13,C6,3.5840000000000005,0.176,107,Eb7
14,C6,3.7880000000000003,0.1,100,Eb7
15,C6,3.961333333333333,0.11333333333333333,108,Eb7
16,B5,4.0920000000000005,0.076,103,Fj7
17,C6,4.177333333333333,0.034666666666666665,109,Fj7
18,C#6,4.212,0.11466666666666667,112,Fj7
19,C6,4.330666666666667,0.148,105,Fj7
20,A5,4.488,0.412,103,Fj7
21,A5,5.266666666666667,0.09333333333333334,117,Fj7
22,G#5,5.370666666666668,0.10533333333333333,103,Fj7
23,A5,5.482666666666668,0.116,117,Fj7
24,A#5,5.6066666666666665,0.11866666666666667,104,Fj7
25,G#5,5.737333333333333,0.12266666666666666,105,Fj7
26,A5,5.86,0.1,112,Fj7
27,G5,5.966666666666668,0.11733333333333333,103,Fj7
28,G#5,6.086666666666667,0.09866666666666667,104,Ab-7
29,A5,6.192000000000001,0.08933333333333333,115,Ab-7
30,F5,6.298666666666667,0.09733333333333333,106,Ab-7
31,D5,6.406666666666667,0.088,99,Ab-7
32,A4,6.5200000000000005,0.064,96,Ab-7
33,D5,6.6000000000000005,0.612,98,Ab-7
34,A5,7.550666666666667,0.1,114,Db7
35,C6,7.698666666666667,0.048,112,Db7
36,C#6,7.748,0.016,111,Db7
37,D6,7.7746666666666675,0.22266666666666668,104,Db7
38,A5,8.02,0.124,116,G-7
39,G5,8.181333333333335,0.856,99,G-7
40,F5,9.096,0.09866666666666667,98,C7
41,B5,9.292000000000002,0.0,106,C7
42,C6,9.317333333333334,0.232,107,C7
43,A#5,9.549333333333333,0.068,100,C7
44,G5,9.642666666666667,0.05333333333333334,103,C7
45,F5,9.730666666666668,0.36133333333333334,101,C7
46,D#5,10.123999999999999,0.07866666666666666,97,A-7
47,F5,10.257333333333335,0.04533333333333334,102,A-7
48,G5,10.313333333333333,0.18266666666666667,104,A-7
49,C5,10.495999999999999,0.136,102,A-7
50,A#4,10.652000000000001,0.17066666666666666,92,A-7
