,note_name,start_time,duration,velocity,chord
0,C5,0.9009320905459388,0.03195739014647137,106,Bbj7
1,C#5,0.9408788282290272,0.10652463382157124,105,Bbj7
2,D5,1.0607190412782952,0.10252996005326231,102,Bbj7
3,F5,1.176564580559254,0.10252996005326231,115,Bbj7
4,G5,1.3017310252996,0.1318242343541944,108,Bbj7
5,F5,1.4442077230359516,0.1051930758988016,105,Bbj7
6,D6,1.5813581890812243,0.11451398135818908,96,Bbj7
7,C#6,1.7065246338215712,0.10119840213049268,109,Bbj7
8,C6,1.8143808255659115,0.1611185086551265,107,Bbj7
9,B5,1.9808255659121166,0.10252996005326231,104,Bbj7
10,A#5,2.0953395472703056,0.12117177097203728,103,Bb-7
11,F5,2.232490013315579,0.09320905459387484,107,Bb-7
12,D5,2.33901464713715,0.10652463382157124,96,Bb-7
13,C5,2.4482023968042608,0.07989347536617843,95,Bb-7
14,A#4,2.5427430093209047,0.17842876165113183,103,Bb-7
15,G4,2.7424766977363504,0.08788282290279627,103,Bb-7
16,F4,2.8556591211717706,0.07989347536617843,92,Bb-7
17,C5,3.010119840213049,0.07057256990679095,100,Eb7
18,A#4,3.0953395472703065,0.13049267643142476,93,Eb7
19,C#5,3.243142476697736,0.08388814913448735,92,Eb7
20,F5,3.3496671105193077,0.1411451398135819,110,Eb7
21,F5,3.588015978695072,0.13315579227696406,106,Eb7
22,A#5,3.7531291611185083,0.09187749667110519,104,Eb7
23,F5,3.8716378162450056,0.09054593874833555,98,Eb7
24,A#5,4.010119840213049,0.085219707057257,101,Fj7
25,C#6,4.101997336884153,0.11717709720372836,105,Fj7
26,C6,4.2311584553928085,0.07190412782956059,105,Fj7
27,B5,4.3097203728362175,0.0426098535286285,103,Fj7
28,A#5,4.353661784287617,0.1318242343541944,105,Fj7
29,G5,4.492143808255658,0.08388814913448735,112,Fj7
30,C#5,4.6106524633821575,0.08788282290279627,102,Fj7
31,C5,4.7158455392809575,0.0426098535286285,97,Fj7
32,B4,4.7677762982689735,0.037283621837549935,103,Fj7
33,A#4,4.821038615179759,0.13715046604527298,103,Fj7
34,G#4,5.024766977363514,0.05992010652463382,103,Fj7
35,A4,5.12063914780293,0.09054593874833555,93,Fj7
36,A#4,5.247137150466045,0.07456724367509987,100,Fj7
37,B4,5.390945406125166,0.08122503328894808,93,Fj7
38,C5,5.516111850865512,0.0692410119840213,95,Fj7
39,D5,5.614647137150465,0.08255659121171771,96,Fj7
40,B4,5.763781624500666,0.07856191744340879,92,Fj7
41,C5,5.887616511318242,0.07456724367509987,86,Fj7
42,D5,6.007456724367509,0.07989347536617843,95,Ab-7
43,E5,6.11797603195739,0.10386151797603196,96,Ab-7
44,F5,6.249800266311585,0.09986684420772303,110,Ab-7
45,G5,6.3616511318242335,0.15046604527296936,110,Ab-7
46,E5,6.545406125166444,0.085219707057257,94,Ab-7
47,F5,6.643941411451397,0.10386151797603196,108,Ab-7
48,G5,6.759786950732357,0.11584553928095873,104,Ab-7
49,G5,7.40958721704394,0.085219707057257,106,Db7
50,G#5,7.561384820239681,0.08921438082556592,111,Db7
51,E5,7.7358189081225035,0.08255659121171771,87,Db7
52,F5,7.875632490013315,0.1318242343541944,108,Db7
53,C#5,8.087350199733688,0.09720372836218376,95,G-7
